X = 0000  Y = 0000  cin = U  S1 = 1000000  S0 = UUUUUUU  LEDR = 0XXXX
X = 0011  Y = 0100  cin = 0  S1 = 1000000  S0 = 1111000  LEDR = 00111
X = 0011  Y = 0101  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01001
X = 0011  Y = 0101  cin = 0  S1 = 1000000  S0 = 0000000  LEDR = 01000
X = 0011  Y = 0110  cin = 1  S1 = 1000000  S0 = 0000000  LEDR = 01010
X = 0011  Y = 0110  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01001
X = 0011  Y = 0111  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01011
X = 0011  Y = 0111  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01010
X = 0011  Y = 1000  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11100
X = 0011  Y = 1000  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01011
X = 0011  Y = 1001  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11101
X = 0011  Y = 1001  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01100
X = 0100  Y = 0000  cin = 1  S1 = 1000000  S0 = 0010010  LEDR = 00101
X = 0100  Y = 0000  cin = 0  S1 = 1000000  S0 = 0011001  LEDR = 00100
X = 0100  Y = 0001  cin = 1  S1 = 1000000  S0 = 0000010  LEDR = 00110
X = 0100  Y = 0001  cin = 0  S1 = 1000000  S0 = 0010010  LEDR = 00101
X = 0100  Y = 0010  cin = 1  S1 = 1000000  S0 = 1111000  LEDR = 00111
X = 0100  Y = 0010  cin = 0  S1 = 1000000  S0 = 0000010  LEDR = 00110
X = 0100  Y = 0011  cin = 1  S1 = 1000000  S0 = 0000000  LEDR = 01000
X = 0100  Y = 0011  cin = 0  S1 = 1000000  S0 = 1111000  LEDR = 00111
X = 0100  Y = 0100  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01001
X = 0100  Y = 0100  cin = 0  S1 = 1000000  S0 = 0000000  LEDR = 01000
X = 0100  Y = 0101  cin = 1  S1 = 1000000  S0 = 0000000  LEDR = 01010
X = 0100  Y = 0101  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01001
X = 0100  Y = 0110  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01011
X = 0100  Y = 0110  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01010
X = 0100  Y = 0111  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01100
X = 0100  Y = 0111  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01011
X = 0100  Y = 1000  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11101
X = 0100  Y = 1000  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01100
X = 0100  Y = 1001  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11110
X = 0100  Y = 1001  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01101
X = 0101  Y = 0000  cin = 1  S1 = 1000000  S0 = 0000010  LEDR = 00110
X = 0101  Y = 0000  cin = 0  S1 = 1000000  S0 = 0010010  LEDR = 00101
X = 0101  Y = 0001  cin = 1  S1 = 1000000  S0 = 1111000  LEDR = 00111
X = 0101  Y = 0001  cin = 0  S1 = 1000000  S0 = 0000010  LEDR = 00110
X = 0101  Y = 0010  cin = 1  S1 = 1000000  S0 = 0000000  LEDR = 01000
X = 0101  Y = 0010  cin = 0  S1 = 1000000  S0 = 1111000  LEDR = 00111
X = 0101  Y = 0011  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01001
X = 0101  Y = 0011  cin = 0  S1 = 1000000  S0 = 0000000  LEDR = 01000
X = 0101  Y = 0100  cin = 1  S1 = 1000000  S0 = 0000000  LEDR = 01010
X = 0101  Y = 0100  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01001
X = 0101  Y = 0101  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01011
X = 0101  Y = 0101  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01010
X = 0101  Y = 0110  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01100
X = 0101  Y = 0110  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01011
X = 0101  Y = 0111  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01101
X = 0101  Y = 0111  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01100
X = 0101  Y = 1000  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11110
X = 0101  Y = 1000  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01101
X = 0101  Y = 1001  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11111
X = 0101  Y = 1001  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01110
X = 0110  Y = 0000  cin = 1  S1 = 1000000  S0 = 1111000  LEDR = 00111
X = 0110  Y = 0000  cin = 0  S1 = 1000000  S0 = 0000010  LEDR = 00110
X = 0110  Y = 0001  cin = 1  S1 = 1000000  S0 = 0000000  LEDR = 01000
X = 0110  Y = 0001  cin = 0  S1 = 1000000  S0 = 1111000  LEDR = 00111
X = 0110  Y = 0010  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01001
X = 0110  Y = 0010  cin = 0  S1 = 1000000  S0 = 0000000  LEDR = 01000
X = 0110  Y = 0011  cin = 1  S1 = 1000000  S0 = 0000000  LEDR = 01010
X = 0110  Y = 0011  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01001
X = 0110  Y = 0100  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01011
X = 0110  Y = 0100  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01010
X = 0110  Y = 0101  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01100
X = 0110  Y = 0101  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01011
X = 0110  Y = 0110  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01101
X = 0110  Y = 0110  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01100
X = 0110  Y = 0111  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01110
X = 0110  Y = 0111  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01101
X = 0110  Y = 1000  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11111
X = 0110  Y = 1000  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01110
X = 0110  Y = 1001  cin = 1  S1 = 1111001  S0 = 1000000  LEDR = 10000
X = 0110  Y = 1001  cin = 0  S1 = 1000000  S0 = 1000000  LEDR = 01111
X = 0111  Y = 0000  cin = 1  S1 = 1000000  S0 = 0000000  LEDR = 01000
X = 0111  Y = 0000  cin = 0  S1 = 1000000  S0 = 1111000  LEDR = 00111
X = 0111  Y = 0001  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01001
X = 0111  Y = 0001  cin = 0  S1 = 1000000  S0 = 0000000  LEDR = 01000
X = 0111  Y = 0010  cin = 1  S1 = 1000000  S0 = 0000000  LEDR = 01010
X = 0111  Y = 0010  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01001
X = 0111  Y = 0011  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01011
X = 0111  Y = 0011  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01010
X = 0111  Y = 0100  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01100
X = 0111  Y = 0100  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01011
X = 0111  Y = 0101  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01101
X = 0111  Y = 0101  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01100
X = 0111  Y = 0110  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01110
X = 0111  Y = 0110  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01101
X = 0111  Y = 0111  cin = 1  S1 = 1000000  S0 = 0010000  LEDR = 01111
X = 0111  Y = 0111  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01110
X = 0111  Y = 1000  cin = 1  S1 = 1111001  S0 = 1000000  LEDR = 10000
X = 0111  Y = 1000  cin = 0  S1 = 1000000  S0 = 1000000  LEDR = 01111
X = 0111  Y = 1001  cin = 1  S1 = 1111001  S0 = 1111001  LEDR = 10001
X = 0111  Y = 1001  cin = 0  S1 = 1000000  S0 = 1000000  LEDR = 00000
X = 1000  Y = 0000  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11001
X = 1000  Y = 0000  cin = 0  S1 = 1000000  S0 = 0000000  LEDR = 01000
X = 1000  Y = 0001  cin = 1  S1 = 1111001  S0 = 0000000  LEDR = 11010
X = 1000  Y = 0001  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01001
X = 1000  Y = 0010  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11011
X = 1000  Y = 0010  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01010
X = 1000  Y = 0011  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11100
X = 1000  Y = 0011  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01011
X = 1000  Y = 0100  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11101
X = 1000  Y = 0100  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01100
X = 1000  Y = 0101  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11110
X = 1000  Y = 0101  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01101
X = 1000  Y = 0110  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11111
X = 1000  Y = 0110  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01110
X = 1000  Y = 0111  cin = 1  S1 = 1111001  S0 = 1000000  LEDR = 10000
X = 1000  Y = 0111  cin = 0  S1 = 1000000  S0 = 1000000  LEDR = 01111
X = 1000  Y = 1000  cin = 1  S1 = 1111001  S0 = 1111001  LEDR = 10001
X = 1000  Y = 1000  cin = 0  S1 = 1111001  S0 = 1000000  LEDR = 10000
X = 1000  Y = 1001  cin = 1  S1 = 1111001  S0 = 0100100  LEDR = 10010
X = 1000  Y = 1001  cin = 0  S1 = 1111001  S0 = 1111001  LEDR = 10001
X = 1001  Y = 0000  cin = 1  S1 = 1111001  S0 = 1111001  LEDR = 11010
X = 1001  Y = 0000  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01001
X = 1001  Y = 0001  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11011
X = 1001  Y = 0001  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01010
X = 1001  Y = 0010  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11100
X = 1001  Y = 0010  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01011
X = 1001  Y = 0011  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11101
X = 1001  Y = 0011  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01100
X = 1001  Y = 0100  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11110
X = 1001  Y = 0100  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01101
X = 1001  Y = 0101  cin = 1  S1 = 1111001  S0 = 0010000  LEDR = 11111
X = 1001  Y = 0101  cin = 0  S1 = 1000000  S0 = 0010000  LEDR = 01110
X = 1001  Y = 0110  cin = 1  S1 = 1111001  S0 = 1000000  LEDR = 10000
X = 1001  Y = 0110  cin = 0  S1 = 1000000  S0 = 1000000  LEDR = 01111
X = 1001  Y = 0111  cin = 1  S1 = 1111001  S0 = 1111001  LEDR = 10001
X = 1001  Y = 0111  cin = 0  S1 = 1000000  S0 = 1000000  LEDR = 00000
X = 1001  Y = 1000  cin = 1  S1 = 1111001  S0 = 0100100  LEDR = 10010
X = 1001  Y = 1000  cin = 0  S1 = 1111001  S0 = 1111001  LEDR = 10001
X = 1001  Y = 1001  cin = 1  S1 = 1111001  S0 = 0110000  LEDR = 10011
X = 1001  Y = 1001  cin = 0  S1 = 1111001  S0 = 0100100  LEDR = 10010
